FIPS,State,County,OUTZScore,OUTRank,FACTZScore,FACTRank
48223,Texas,Hopkins,-0.01,120,0.12,141
48225,Texas,Houston,0.91,214,0.33,191
48227,Texas,Howard,0.80,211,0.35,198
48229,Texas,Hudspeth,0.29,157,0.71,228
48231,Texas,Hunt,0.04,127,0.36,199
48233,Texas,Hutchinson,1.22,226,-0.02,105
48235,Texas,Irion,,NR,,NR
48237,Texas,Jack,0.96,220,-0.13,78
48239,Texas,Jackson,-0.09,105,-0.18,64
48241,Texas,Jasper,0.89,213,0.25,174
48243,Texas,Jeff Davis,-0.32,73,-0.17,71
48245,Texas,Jefferson,0.55,190,0.45,210
48247,Texas,Jim Hogg,0.31,158,0.19,163
48249,Texas,Jim Wells,0.69,204,0.21,167
48251,Texas,Johnson,-0.05,115,-0.13,80
48253,Texas,Jones,-0.08,108,0.27,180
48255,Texas,Karnes,-0.11,101,0.05,123
48257,Texas,Kaufman,-0.15,94,0.05,122
48259,Texas,Kendall,-1.02,16,-1.14,2
48261,Texas,Kenedy,,NR,,NR
48263,Texas,Kent,,NR,,NR
48265,Texas,Kerr,0.23,150,-0.41,35
